#Bump,Camber,Caster,Toe,SteerAngle,SteerRack 
-0.24999999999999978,0.0006,0.0001,-0.025,-0.012114031530333408,0.0
-0.24749999999999978,-0.0016,0.0015,-0.0191,-0.01024676108296889,0.0
-0.24499999999999977,0.0013,-0.0002,-0.0247,-0.01123789549584028,0.0
-0.24249999999999977,-0.0009,0.0012,-0.0186,-0.009445954481686166,0.0
-0.23999999999999977,0.0018,-0.0003,-0.0242,-0.01044876191761354,0.0
-0.23749999999999977,-0.0006,0.0011,-0.0181,-0.008786138942533732,0.0
-0.23499999999999976,0.002,-0.0004,-0.0238,-0.009822443358971481,0.0
-0.23249999999999976,-0.0006,0.0011,-0.0176,-0.008273654578954005,0.0
-0.22999999999999976,0.0018,-0.0003,-0.0235,-0.009324204457555534,0.0
-0.22749999999999976,-0.001,0.0011,-0.0172,-0.007864885096393649,0.0
-0.22499999999999976,0.0014,-0.0002,-0.0232,-0.008902357530288197,0.0
-0.22249999999999975,-0.0014,0.0012,-0.017,-0.00751203227676027,0.0
-0.21999999999999975,0.0011,-0.0001,-0.0231,-0.008513054072401355,0.0
-0.21749999999999975,-0.0017,0.0012,-0.0168,-0.007178320313265663,0.0
-0.21499999999999975,0.0008,-0.0,-0.023,-0.008126724086811437,0.0
-0.21249999999999974,-0.0018,0.0012,-0.0166,-0.006840664136224467,0.0
-0.20999999999999974,0.0008,0.0,-0.0229,-0.007726958491316025,0.0
-0.20749999999999974,-0.0019,0.0012,-0.0165,-0.00648743675355628,0.0
-0.20499999999999974,0.0007,0.0001,-0.0228,-0.007307077832040985,0.0
-0.20249999999999974,-0.0019,0.0012,-0.0164,-0.006115038456032357,0.0
-0.19999999999999973,0.0008,0.0001,-0.0228,-0.006866671551381013,0.0
-0.19749999999999973,-0.0018,0.0011,-0.0163,-0.005724791630699847,0.0
-0.19499999999999973,0.0009,0.0001,-0.0227,-0.0064088612510819175,0.0
-0.19249999999999973,-0.0018,0.0011,-0.0161,-0.005320596666645994,0.0
-0.18999999999999972,0.0009,0.0001,-0.0226,-0.0059380446254360475,0.0
-0.18749999999999972,-0.0017,0.001,-0.0159,-0.004906767538304191,0.0
-0.18499999999999972,0.001,0.0001,-0.0224,-0.005459267494489666,0.0
-0.18249999999999972,-0.0017,0.0009,-0.0157,-0.004488550209393435,0.0
-0.17999999999999972,0.001,0.0001,-0.0223,-0.0049775926705475535,0.0
-0.1774999999999997,-0.0016,0.0009,-0.0155,-0.004070467501170639,0.0
-0.1749999999999997,0.001,0.0001,-0.0221,-0.00449681175455284,0.0
-0.1724999999999997,-0.0016,0.0008,-0.0153,-0.003655472859826081,0.0
-0.1699999999999997,0.0011,0.0001,-0.0219,-0.004019956475694987,0.0
-0.1674999999999997,-0.0016,0.0007,-0.0151,-0.0032464377638440596,0.0
-0.1649999999999997,0.0015,0.0002,-0.0217,-0.0038534732182291228,0.0
-0.1624999999999997,-0.0007,0.0009,-0.0149,-0.0033987080472749607,0.0
-0.1599999999999997,0.0024,0.0004,-0.0215,-0.003982963401738013,0.0
-0.1574999999999997,-0.0,0.0011,-0.0146,-0.0034463861958743615,0.0
-0.1549999999999997,0.0028,0.0005,-0.0213,-0.003916276334852756,0.0
-0.1524999999999997,0.0002,0.0011,-0.0144,-0.00331461776681332,0.0
-0.1499999999999997,0.0028,0.0004,-0.021,-0.0036961521992385335,0.0
-0.1474999999999997,-0.0,0.001,-0.0142,-0.0030748721488172127,0.0
-0.14499999999999968,0.0024,0.0003,-0.0209,-0.0034105724796628005,0.0
-0.14249999999999968,-0.0005,0.0008,-0.014,-0.0028083879050854275,0.0
-0.13999999999999968,0.002,0.0001,-0.0208,-0.0031312446715995768,0.0
-0.13749999999999968,-0.0009,0.0006,-0.014,-0.0025697439231313055,0.0
-0.13499999999999968,0.0016,0.0,-0.0207,-0.002896762823061304,0.0
-0.13249999999999967,-0.0012,0.0005,-0.0139,-0.002381900598806078,0.0
-0.12999999999999967,0.0013,-0.0,-0.0207,-0.0027168059612627323,0.0
-0.12749999999999967,-0.0015,0.0004,-0.014,-0.002244597425990778,0.0
-0.12499999999999967,0.0011,-0.0001,-0.0208,-0.0025832635095107332,0.0
-0.12249999999999966,-0.0016,0.0004,-0.014,-0.0021454916709584024,0.0
-0.11999999999999966,0.001,-0.0001,-0.0209,-0.0024808337263872715,0.0
-0.11749999999999966,-0.0016,0.0004,-0.0141,-0.0020690604870475795,0.0
-0.11499999999999966,0.001,-0.0001,-0.0209,-0.002394233327135378,0.0
-0.11249999999999966,-0.0016,0.0004,-0.0141,-0.0020018821328112663,0.0
-0.10999999999999965,0.001,-0.0001,-0.021,-0.0023117967754115337,0.0
-0.10749999999999965,-0.0016,0.0004,-0.0142,-0.001934753407373485,0.0
-0.10499999999999965,0.0011,-0.0,-0.021,-0.002226394961639123,0.0
-0.10249999999999965,-0.0016,0.0004,-0.0142,-0.0018627359319059315,0.0
-0.09999999999999964,0.0011,-0.0,-0.021,-0.0021348287119412296,0.0
-0.09749999999999964,-0.0015,0.0004,-0.0142,-0.0017841894652959119,0.0
-0.09499999999999964,0.0011,-0.0,-0.021,-0.0020366313641474584,0.0
-0.09249999999999964,-0.0015,0.0004,-0.0142,-0.0016995459286364525,0.0
-0.08999999999999964,0.0011,-0.0,-0.021,-0.0019328658909162108,0.0
-0.08749999999999963,-0.0015,0.0004,-0.0141,-0.0016102419818562602,0.0
-0.08499999999999963,0.0012,-0.0,-0.0209,-0.0018251931672620516,0.0
