#Bump,Camber,Caster,Toe,SteerAngle,SteerRack 
-0.4975,0.0,0.0,0.0,nan,0.0
-0.4975,0.000655026760553049,0.00018084578193401624,2.667662246849736e-05,-0.00022366921906587096,0.0
-0.4975,0.001382814114008791,0.0003734255207435035,0.000172404376918687,-0.00043662395078472425,0.0
-0.4975,0.0021366641274027814,0.0005351569644125697,-0.00018519630136873985,-0.0006176539229385883,0.0
-0.4975,0.0014682889634662572,0.0005890475640432846,0.0030775185351763204,-0.0005353564933342617,0.0
-0.4975,0.005022622630599733,0.0006355239779988329,-0.006558745630384723,-0.0010544413845076804,0.0
-0.4975,0.0028126415718308694,0.0009025580389285941,-0.002531875754465662,-0.0011117787145627082,0.0
-0.4975,0.005348748487714873,0.000986242700631689,-0.011852607848350209,-0.0018867567462881691,0.0
-0.4975,0.0024562759170504195,0.0013716506659324642,-0.007662515675495156,-0.002013560536905206,0.0
-0.4975,0.0045697334581309874,0.0014107835310023396,-0.016818018724075342,-0.0029678985049907767,0.0
-0.495,0.0014460468593546574,0.0018752527677392801,-0.012455094134946632,-0.003118951486779765,0.0
-0.495,0.0034795770989821816,0.0018465579331489593,-0.021368963213401253,-0.004213489385446027,0.0
-0.495,0.00038776182365616034,0.0023743446764397163,-0.016753754307043157,-0.004353393582938819,0.0
-0.495,0.0025279873579509833,0.0022687131673762356,-0.025345908701361327,-0.005554157232287886,0.0
-0.495,-0.00040383641585510396,0.002848857882289678,-0.020421953545115626,-0.005647749078903489,0.0
-0.495,0.0019175054815683602,0.0026588899169059828,-0.028645769765719448,-0.0069205533723408555,0.0
-0.495,-0.0008173298241217,0.0032813811430273832,-0.02339234848834064,-0.006934565333474461,0.0
-0.495,0.0016900706999901866,0.0029995773778202844,-0.031236132139517085,-0.00824755904135494,0.0
-0.495,-0.0008616299325898864,0.0036560599592139163,-0.025664592500661842,-0.008154692715718923,0.0
-0.4925,0.0018026347144654677,0.003276207917678961,-0.03314511650623838,-0.00948228660733189,0.0
-0.4925,-0.0006006743648091808,0.003961482811007054,-0.027291182464933027,-0.0092644803704556,0.0
-0.4925,0.0021808932899642147,0.003480344442341269,-0.034445359530701755,-0.010590141946326011,0.0
-0.4925,-0.00011137792875216152,0.004193193435507356,-0.02836070195149787,-0.010239894410714578,0.0
-0.4925,0.0027505766362288693,0.003611359247156151,-0.03523741169924035,-0.011557009269987376,0.0
-0.4925,0.0005390166788343064,0.00435407421645521,-0.028981706644331147,-0.011076440000935878,0.0
-0.4925,0.0034528003650929552,0.0036755824958612823,-0.035634528127310626,-0.012387145907784133,0.0
-0.4925,0.001299216769092558,0.004453803537257841,-0.029269367600219445,-0.011786904638479027,0.0
-0.4925,0.0042441129246352655,0.003685953596601867,-0.035751528764096166,-0.01310083695679617,0.0
-0.4925,0.002134505158021723,0.004506874843024117,-0.029335607654333556,-0.012397008265927307,0.0
-0.49,0.005097254949598385,0.0036585640179041144,-0.03569595677518871,-0.013728319511140485,0.0
-0.49,0.0030243465522155465,0.004529643423108773,-0.02928188606025754,-0.012939829215158495,0.0
-0.49,0.005997100030823011,0.0036102930255123154,-0.03556251288309266,-0.014304869871221988,0.0
-0.49,0.003958383709997832,0.004537995970044853,-0.02919490977426118,-0.0134509896885864,0.0
-0.49,0.006936953993514999,0.0035564617086591608,-0.035429825997090214,-0.014866089931808654,0.0
-0.49,0.00493296284936558,0.004546410445327634,-0.0291449584720185,-0.013965672851953824,0.0
-0.49,0.007915419074960826,0.0035110897251369884,-0.03536027312405096,-0.015446472619033298,0.0
-0.49,0.005948670881025749,0.004567231720469681,-0.029186138449377976,-0.014516330324844997,0.0
-0.49,0.008934528684552622,0.003485245429316598,-0.03540034225447981,-0.01607631391023227,0.0
-0.49,0.007008781169743284,0.004609751550578115,-0.029357351559926047,-0.015130609744232668,0.0
-0.4875,0.009998485235585552,0.0034869015545711075,-0.035582177079391424,-0.016780670643586803,0.0
-0.4875,0.008118299729611575,0.004680330350990075,-0.029684183080553834,-0.01583078358088435,0.0
-0.4875,0.011112942279867219,0.003521216524577437,-0.03592569476696087,-0.0175791441100475,0.0
-0.4875,0.009283430729301633,0.004782773792766525,-0.030181169461548817,-0.016633809498199613,0.0
-0.4875,0.012284596227280337,0.0035909910689504005,-0.03644093530836461,-0.01848618218012821,0.0
-0.4875,0.0105112683747629,0.004918824577266379,-0.030854171139079893,-0.017551811382968362,0.0
-0.4875,0.013520942233172855,0.0036971933590099516,-0.03713041375925896,-0.019511717619634685,0.0
-0.4875,0.011809607312841535,0.005088684575188187,-0.03170266107036443,-0.01859281958352769,0.0
-0.4875,0.014830117285159549,0.003839483349863691,-0.03799131941332931,-0.020661997305198007,0.0
-0.4875,0.013186818864787578,0.005291513226879479,-0.03272180563764366,-0.01976164323783078,0.0
-0.4875,0.016280579025232774,0.004002196595358376,-0.0389931791540706,-0.021862459654469778,0.0
-0.485,0.015176841489024541,0.005410266444812441,-0.033710432508132784,-0.02051397194399526,0.0
-0.485,0.01898268578782353,0.004033432924278782,-0.03971607309970245,-0.022073660246267602,0.0
-0.485,0.018104017464287768,0.005511668634067089,-0.034296585708003674,-0.020767188952770372,0.0
-0.485,0.0215460537755625,0.004213175271040172,-0.040214821565078177,-0.022460300520177473,0.0
