#time,V_x,k,SlipAngle,LateralForce,DynamicS,AbsVy,
1,[0.],10000,0.0,0.0,[0.]
2,[-4.65182069e-05],10000,[-0.],0.0,[0.]
3,[0.00032723],10000,[0.],0.0,[0.]
4,[0.00030216],10000,[0.],0.0,[0.]
5,[0.00024831],10000,[0.],0.0,[0.]
6,[0.00020083],10000,[0.],0.0,[0.]
7,[0.00016205],10000,[0.],0.0,[0.]
8,[0.00013072],10000,[0.],0.0,[0.]
9,[0.00010545],10000,[0.],0.0,[0.]
10,[8.50760369e-05],10000,[0.],0.0,[0.]
11,[6.8646321e-05],10000,[0.],0.0,[0.]
12,[5.53967252e-05],10000,[0.],0.0,[0.]
13,[4.4710874e-05],10000,[0.],0.0,[0.]
14,[3.60919741e-05],10000,[0.],0.0,[0.]
15,[2.91395968e-05],10000,[0.],0.0,[0.]
16,[2.35309679e-05],10000,[0.],0.0,[0.]
17,[1.90058945e-05],10000,[0.],0.0,[0.]
18,[1.53546204e-05],10000,[0.],0.0,[0.]
19,[1.24080413e-05],10000,[0.],0.0,[0.]
20,[1.00298198e-05],10000,[0.],0.0,[0.]
21,[8.11003114e-06],10000,[0.],0.0,[0.]
22,[6.56004166e-06],10000,[0.],0.0,[0.]
23,[5.30838169e-06],10000,[0.],0.0,[0.]
24,[4.29741856e-06],10000,[0.],0.0,[0.]
25,[3.48067503e-06],10000,[0.],0.0,[0.]
26,[2.82066776e-06],10000,[0.],0.0,[0.]
27,[2.28716481e-06],10000,[0.],0.0,[0.]
28,[1.85578108e-06],10000,[0.],0.0,[0.]
29,[1.50684591e-06],10000,[0.],0.0,[0.]
30,[1.22449018e-06],10000,[0.],0.0,[0.]
31,[9.95910411e-07],10000,[0.],0.0,[0.]
32,[8.10775365e-07],10000,[0.],0.0,[0.]
33,[6.60747665e-07],10000,[0.],0.0,[0.]
34,[5.39098079e-07],10000,[0.],0.0,[0.]
35,[4.4039452e-07],10000,[0.],0.0,[0.]
36,[4.4039452e-07],10000,[0.],0.0,[0.]
37,[4.4039452e-07],10000,[0.],0.0,[0.]
38,[4.4039452e-07],10000,[0.],0.0,[0.]
39,[4.4039452e-07],10000,[0.],0.0,[0.]
40,[4.4039452e-07],10000,[0.],0.0,[0.]
41,[4.4039452e-07],10000,[0.],0.0,[0.]
42,[4.4039452e-07],10000,[0.],0.0,[0.]
43,[4.4039452e-07],10000,[0.],0.0,[0.]
44,[4.4039452e-07],10000,[0.],0.0,[0.]
45,[4.4039452e-07],10000,[0.],0.0,[0.]
46,[4.4039452e-07],10000,[0.],0.0,[0.]
47,[4.4039452e-07],10000,[0.],0.0,[0.]
48,[4.4039452e-07],10000,[0.],0.0,[0.]
49,[4.4039452e-07],10000,[0.],0.0,[0.]
50,[4.4039452e-07],10000,[0.],0.0,[0.]
51,[4.4039452e-07],10000,[0.],0.0,[0.]
52,[4.4039452e-07],10000,[0.],0.0,[0.]
53,[4.4039452e-07],10000,[0.],0.0,[0.]
54,[4.4039452e-07],10000,[0.],0.0,[0.]
55,[4.4039452e-07],10000,[0.],0.0,[0.]
56,[4.4039452e-07],10000,[0.],0.0,[0.]
57,[4.4039452e-07],10000,[0.],0.0,[0.]
58,[4.4039452e-07],10000,[0.],0.0,[0.]
59,[4.4039452e-07],10000,[0.],0.0,[0.]
60,[4.4039452e-07],10000,[0.],0.0,[0.]
61,[4.4039452e-07],10000,[0.],0.0,[0.]
62,[4.4039452e-07],10000,[0.],0.0,[0.]
63,[4.4039452e-07],10000,[0.],0.0,[0.]
64,[4.4039452e-07],10000,[0.],0.0,[0.]
65,[4.4039452e-07],10000,[0.],0.0,[0.]
66,[4.4039452e-07],10000,[0.],0.0,[0.]
67,[4.4039452e-07],10000,[0.],0.0,[0.]
68,[4.4039452e-07],10000,[0.],0.0,[0.]
69,[4.4039452e-07],10000,[0.],0.0,[0.]
70,[4.4039452e-07],10000,[0.],0.0,[0.]
71,[4.4039452e-07],10000,[0.],0.0,[0.]
72,[4.4039452e-07],10000,[0.],0.0,[0.]
73,[4.4039452e-07],10000,[0.],0.0,[0.]
74,[4.4039452e-07],10000,[0.],0.0,[0.]
75,[4.4039452e-07],10000,[0.],0.0,[0.]
76,[4.4039452e-07],10000,[0.],0.0,[0.]
77,[4.4039452e-07],10000,[0.],0.0,[0.]
78,[4.4039452e-07],10000,[0.],0.0,[0.]
79,[4.4039452e-07],10000,[0.],0.0,[0.]
80,[4.4039452e-07],10000,[0.],0.0,[0.]
81,[4.4039452e-07],10000,[0.],0.0,[0.]
82,[4.4039452e-07],10000,[0.],0.0,[0.]
83,[4.4039452e-07],10000,[0.],0.0,[0.]
84,[4.4039452e-07],10000,[0.],0.0,[0.]
85,[4.4039452e-07],10000,[0.],0.0,[0.]
86,[4.4039452e-07],10000,[0.],0.0,[0.]
87,[4.4039452e-07],10000,[0.],0.0,[0.]
88,[4.4039452e-07],10000,[0.],0.0,[0.]
89,[4.4039452e-07],10000,[0.],0.0,[0.]
90,[4.4039452e-07],10000,[0.],0.0,[0.]
91,[4.4039452e-07],10000,[0.],0.0,[0.]
92,[4.4039452e-07],10000,[0.],0.0,[0.]
93,[4.4039452e-07],10000,[0.],0.0,[0.]
94,[4.4039452e-07],10000,[0.],0.0,[0.]
95,[4.4039452e-07],10000,[0.],0.0,[0.]
96,[4.4039452e-07],10000,[0.],0.0,[0.]
97,[4.4039452e-07],10000,[0.],0.0,[0.]
98,[4.4039452e-07],10000,[0.],0.0,[0.]
99,[4.4039452e-07],10000,[0.],0.0,[0.]
100,[4.4039452e-07],10000,[0.],0.0,[0.]
101,[4.4039452e-07],10000,[0.],0.0,[0.]
102,[4.4039452e-07],10000,[0.],0.0,[0.]
103,[4.4039452e-07],10000,[0.],0.0,[0.]
104,[4.4039452e-07],10000,[0.],0.0,[0.]
105,[4.4039452e-07],10000,[0.],0.0,[0.]
106,[4.4039452e-07],10000,[0.],0.0,[0.]
107,[4.4039452e-07],10000,[0.],0.0,[0.]
108,[4.4039452e-07],10000,[0.],0.0,[0.]
109,[4.4039452e-07],10000,[0.],0.0,[0.]
110,[4.4039452e-07],10000,[0.],0.0,[0.]
111,[4.4039452e-07],10000,[0.],0.0,[0.]
112,[4.4039452e-07],10000,[0.],0.0,[0.]
113,[4.4039452e-07],10000,[0.],0.0,[0.]
114,[4.4039452e-07],10000,[0.],0.0,[0.]
115,[4.4039452e-07],10000,[0.],0.0,[0.]
116,[4.4039452e-07],10000,[0.],0.0,[0.]
117,[4.4039452e-07],10000,[0.],0.0,[0.]
118,[4.4039452e-07],10000,[0.],0.0,[0.]
119,[4.4039452e-07],10000,[0.],0.0,[0.]
120,[4.4039452e-07],10000,[0.],0.0,[0.]
121,[4.4039452e-07],10000,[0.],0.0,[0.]
122,[4.4039452e-07],10000,[0.],0.0,[0.]
123,[4.4039452e-07],10000,[0.],0.0,[0.]
124,[4.4039452e-07],10000,[0.],0.0,[0.]
