speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
138.306994275433,0.287832745330299,12,0,1.28170225571882,4,4.8257,5748.07766608791,182.519223339121,147.331561039193,-162.860687777143,553.726338442286,0,100,0,0,1,0,1.2,1.2,0,0,0,-9.74205574759231,-6.91814066352341,416.62,11528.3213096003,
138.426963469493,0.313861797721032,13,0,1.28029156143251,4,4.8257,5753.06361960827,182.469363803917,147.419076167791,-163.143345055981,554.687373190336,0,100,0,0,1,0,1.2,1.2,0,0,0,-10.554150179703,-7.49362751908986,416.64,11528.0386523214,
138.546696812112,0.339868291757819,14,0,1.27888295098014,4,4.8257,5758.03977107621,182.419602289238,147.506349631448,-163.425691001339,555.647349404553,0,100,0,0,1,0,1.2,1.2,0,0,0,-11.3662446118137,-8.06911437465631,416.66,11527.7563063761,
138.666195109583,0.365852310740835,15,0,1.27747641893497,4,4.8257,5763.00615400161,182.369938459984,147.593382428153,-163.707726074467,556.606268653188,0,100,0,0,1,0,1.2,1.2,0,0,0,-12.1783390439243,-8.64460123022276,416.68,11527.4742713029,
138.785459163719,0.391813937488832,16,0,1.27607195989669,4,4.8257,5767.96280170792,182.320371982921,147.68017554996,-163.989450735406,557.564132500379,0,100,0,0,1,0,1.2,1.2,0,0,0,-12.990433476035,-9.22008808578921,416.7,11527.192546642,
138.904489771876,0.417753254343008,17,0,1.2746695684912,4,4.8257,5772.90974733358,182.270902526664,147.766729983031,-164.27086544299,558.520942506167,0,100,0,0,1,0,1.2,1.2,0,0,0,-13.8025279081457,-9.79557494135566,416.72,11526.9111319344,
139.023287726998,0.443670343170823,18,0,1.27326923937042,4,4.8257,5777.84702383355,182.221529761664,147.853046707683,-164.551970654858,559.476700226517,0,100,0,0,1,0,1.2,1.2,0,0,0,-14.6146223402563,-10.3710617969221,416.74,11526.6300267226,
139.141853817648,0.469565285369783,19,0,1.27187096721208,4,4.8257,5782.77466398067,182.172253360193,147.939126698437,-164.832766827453,560.43140721334,0,100,0,0,1,0,1.2,1.2,0,0,0,-15.426716772367,-10.9465486524886,416.76,11526.34923055,
139.26018882804,0.495438161871184,20,0,1.27047474671955,4,4.8257,5787.69270036715,182.123072996329,148.024970924063,-165.113254416032,561.38506501451,0,100,0,0,1,0,1.2,1.2,0,0,0,-16.2388112044777,-11.522035508055,416.78,11526.0687429614,
139.378293538077,0.521289053143817,21,0,1.26908057262164,4,4.8257,5792.60116540594,182.073988345941,148.110580347627,-165.393433874672,562.337675173886,0,100,0,0,1,0,1.2,1.2,0,0,0,-17.0509056365883,-12.0975223636215,416.8,11525.7885635027,
