#time,V_x,k,SlipAngle,LateralForce,DynamicS,AbsVy,
1,1.0,100000,0.0009999996666668668,99.99996666668667,1.0000003333332444e-05,0.001
2,1.0,100000,0.0019999973333397333,199.99973333397332,1.0000013333319111e-05,0.002
3,1.0,100000,0.0029999910000485996,299.99910000485994,1.0000029999928002e-05,0.003
4,1.0,100000,0.003999978666871465,399.9978666871465,1.0000053333105779e-05,0.004
5,1.0,100000,0.0049999583339583225,499.9958333958322,1.0000083332777786e-05,0.005
6,1.0,100000,0.00599992800155516,599.9928001555161,1.000011999884802e-05,0.006
7,1.0,100000,0.006999885670027949,699.9885670027949,1.0000163331199166e-05,0.007
8,1.0,100000,0.007999829339886634,799.9829339886635,1.0000213329692565e-05,0.008
9,1.0,100000,0.008999757011809117,899.9757011809116,1.0000269994168247e-05,0.009
10,1.0,100000,0.009999666686665238,999.9666686665238,1.000033332444491e-05,0.01
11,1.0,100000,0.01099955636554075,1099.955636554075,1.0000403320319936e-05,0.011
12,1.0,100000,0.011999424049761282,1199.9424049761283,1.000047998156939e-05,0.012
13,1.0,100000,0.012999267740916302,1299.9267740916303,1.0000563307948026e-05,0.013
14,1.0,100000,0.013999085440883076,1399.9085440883077,1.0000653299189283e-05,0.014
15,1.0,100000,0.014998875151850595,1499.8875151850596,1.0000749955005302e-05,0.015
16,1.0,100000,0.015998634876343527,1599.8634876343526,1.0000853275086922e-05,0.016
17,1.0,100000,0.01699836261724613,1699.8362617246128,1.000096325910368e-05,0.017
18,1.0,100000,0.01799805637782616,1799.805637782616,1.0001079906703834e-05,0.018
19,1.0,100000,0.018997714161758807,1899.7714161758806,1.0001203217514344e-05,0.019
20,1.0,100000,0.019997333973150535,1999.7333973150535,1.0001333191140901e-05,0.02
21,1.0,100000,0.02099691381656299,2099.691381656299,1.0001469827167922e-05,0.021
22,1.0,100000,0.021996451697036862,2199.6451697036864,1.0001613125158552e-05,0.022
23,1.0,100000,0.02299594562011573,2299.594562011573,1.000176308465468e-05,0.023
24,1.0,100000,0.023995393591869883,2399.5393591869883,1.0001919705176947e-05,0.024
25,1.0,100000,0.02499479361892016,2499.4793618920157,1.0002082986224741e-05,0.025
26,1.0,100000,0.025994143708461735,2599.4143708461734,1.0002252927276215e-05,0.026
27,1.0,100000,0.02699344186828791,2699.344186828791,1.0002429527788302e-05,0.027
28,1.0,100000,0.02799268610681388,2799.268610681388,1.0002612787196703e-05,0.028
29,1.0,100000,0.028991874433100476,2899.1874433100475,1.0002802704915915e-05,0.029
30,1.0,100000,0.0299910048568779,2999.10048568779,1.0002999280339231e-05,0.03
31,1.0,100000,0.03099007538856943,3099.007538856943,1.0003202512838749e-05,0.031
32,1.0,100000,0.03198908403931511,3198.9084039315107,1.0003412401765389e-05,0.032
33,1.0,100000,0.032988028820995406,3298.8028820995405,1.0003628946448894e-05,0.033
34,1.0,100000,0.033986907746254874,3398.6907746254874,1.0003852146197846e-05,0.034
35,1.0,100000,0.034985718828525754,3498.5718828525755,1.0004082000299677e-05,0.035
36,1.0,100000,0.03598446008205159,3598.446008205159,1.0004318508020676e-05,0.036
