#time,V_x,k,SlipAngle,LateralForce,DynamicS,AbsVy,
1,[0.],10000,0.0,0.0,[0.]
2,[-6.47221994e-05],10000,[-0.],0.0,[0.]
3,[0.00030457],10000,[0.],0.0,[0.]
4,[0.00029941],10000,[0.],0.0,[0.]
5,[0.00025136],10000,[0.],0.0,[0.]
6,[0.00020506],10000,[0.],0.0,[0.]
7,[0.0001663],10000,[0.],0.0,[0.]
8,[0.0001347],10000,[0.],0.0,[0.]
9,[0.00010909],10000,[0.],0.0,[0.]
10,[8.83483846e-05],10000,[0.],0.0,[0.]
11,[7.15602319e-05],10000,[0.],0.0,[0.]
12,[5.79694717e-05],10000,[0.],0.0,[0.]
13,[4.69663789e-05],10000,[0.],0.0,[0.]
14,[3.80575295e-05],10000,[0.],0.0,[0.]
15,[3.08436786e-05],10000,[0.],0.0,[0.]
16,[2.50017782e-05],10000,[0.],0.0,[0.]
17,[2.02704205e-05],10000,[0.],0.0,[0.]
18,[1.64380647e-05],10000,[0.],0.0,[0.]
19,[1.33335146e-05],10000,[0.],0.0,[0.]
20,[1.08182169e-05],10000,[0.],0.0,[0.]
21,[8.78003129e-06],10000,[0.],0.0,[0.]
22,[7.12819062e-06],10000,[0.],0.0,[0.]
23,[5.78922341e-06],10000,[0.],0.0,[0.]
24,[4.703655e-06],10000,[0.],0.0,[0.]
25,[3.8233383e-06],10000,[0.],0.0,[0.]
26,[3.10929396e-06],10000,[0.],0.0,[0.]
27,[2.52996267e-06],10000,[0.],0.0,[0.]
28,[2.05979085e-06],10000,[0.],0.0,[0.]
29,[1.67808618e-06],10000,[0.],0.0,[0.]
30,[1.36809134e-06],10000,[0.],0.0,[0.]
31,[1.11623444e-06],10000,[0.],0.0,[0.]
32,[9.11522334e-07],10000,[0.],0.0,[0.]
33,[7.45049651e-07],10000,[0.],0.0,[0.]
34,[6.09601342e-07],10000,[0.],0.0,[0.]
35,[4.99331033e-07],10000,[0.],0.0,[0.]
36,[4.99331033e-07],10000,[0.],0.0,[0.]
37,[4.99331033e-07],10000,[0.],0.0,[0.]
38,[4.99331033e-07],10000,[0.],0.0,[0.]
39,[4.99331033e-07],10000,[0.],0.0,[0.]
40,[4.99331033e-07],10000,[0.],0.0,[0.]
41,[4.99331033e-07],10000,[0.],0.0,[0.]
42,[4.99331033e-07],10000,[0.],0.0,[0.]
43,[4.99331033e-07],10000,[0.],0.0,[0.]
44,[4.99331033e-07],10000,[0.],0.0,[0.]
45,[4.99331033e-07],10000,[0.],0.0,[0.]
46,[4.99331033e-07],10000,[0.],0.0,[0.]
47,[4.99331033e-07],10000,[0.],0.0,[0.]
48,[4.99331033e-07],10000,[0.],0.0,[0.]
49,[4.99331033e-07],10000,[0.],0.0,[0.]
50,[4.99331033e-07],10000,[0.],0.0,[0.]
51,[4.99331033e-07],10000,[0.],0.0,[0.]
52,[4.99331033e-07],10000,[0.],0.0,[0.]
53,[4.99331033e-07],10000,[0.],0.0,[0.]
54,[4.99331033e-07],10000,[0.],0.0,[0.]
55,[4.99331033e-07],10000,[0.],0.0,[0.]
56,[4.99331033e-07],10000,[0.],0.0,[0.]
57,[4.99331033e-07],10000,[0.],0.0,[0.]
58,[4.99331033e-07],10000,[0.],0.0,[0.]
59,[4.99331033e-07],10000,[0.],0.0,[0.]
60,[4.99331033e-07],10000,[0.],0.0,[0.]
61,[4.99331033e-07],10000,[0.],0.0,[0.]
62,[4.99331033e-07],10000,[0.],0.0,[0.]
63,[4.99331033e-07],10000,[0.],0.0,[0.]
64,[4.99331033e-07],10000,[0.],0.0,[0.]
65,[4.99331033e-07],10000,[0.],0.0,[0.]
66,[4.99331033e-07],10000,[0.],0.0,[0.]
67,[4.99331033e-07],10000,[0.],0.0,[0.]
68,[4.99331033e-07],10000,[0.],0.0,[0.]
69,[4.99331033e-07],10000,[0.],0.0,[0.]
70,[4.99331033e-07],10000,[0.],0.0,[0.]
71,[4.99331033e-07],10000,[0.],0.0,[0.]
72,[4.99331033e-07],10000,[0.],0.0,[0.]
73,[4.99331033e-07],10000,[0.],0.0,[0.]
74,[4.99331033e-07],10000,[0.],0.0,[0.]
75,[4.99331033e-07],10000,[0.],0.0,[0.]
76,[4.99331033e-07],10000,[0.],0.0,[0.]
77,[3.71546998e-07],10000,[0.],0.0,[0.]
78,[3.7959098e-07],10000,[0.],0.0,[0.]
79,[2.63305054e-07],10000,[0.],0.0,[0.]
80,[2.12824305e-07],10000,[0.],0.0,[0.]
81,[1.74273398e-07],10000,[0.],0.0,[0.]
82,[1.42852089e-07],10000,[0.],0.0,[0.]
83,[1.17112016e-07],10000,[0.],0.0,[0.]
84,[9.60175026e-08],10000,[0.],0.0,[0.]
85,[7.87290447e-08],10000,[0.],0.0,[0.]
86,[6.45593155e-08],10000,[0.],0.0,[0.]
87,[5.29451734e-08],10000,[0.],0.0,[0.]
88,[4.34252022e-08],10000,[0.],0.0,[0.]
89,[3.56213358e-08],10000,[0.],0.0,[0.]
90,[2.92238011e-08],10000,[0.],0.0,[0.]
91,[2.39787797e-08],10000,[0.],0.0,[0.]
92,[1.9678299e-08],10000,[0.],0.0,[0.]
93,[1.61519476e-08],10000,[0.],0.0,[0.]
94,[1.32600902e-08],10000,[0.],0.0,[0.]
95,[1.08883058e-08],10000,[0.],0.0,[0.]
