#time,V_x,k,SlipAngle,LateralForce,DynamicS,AbsVy,
1,[0.],10000,0.0,0.0,[0.]
2,[-0.00022692],10000,[-0.],0.0,[0.]
3,[-0.00017162],10000,[-0.],0.0,[0.]
4,[-0.00013862],10000,[-0.],0.0,[0.]
5,[-0.00011767],10000,[-0.],0.0,[0.]
6,[-0.00010357],10000,[-0.],0.0,[0.]
7,[-9.37167062e-05],10000,[-0.],0.0,[0.]
8,[-8.66843324e-05],10000,[-0.],0.0,[0.]
9,[-8.16425666e-05],10000,[-0.],0.0,[0.]
10,[-7.80614615e-05],10000,[-0.],0.0,[0.]
11,[-7.55815879e-05],10000,[-0.],0.0,[0.]
12,[-7.39473355e-05],10000,[-0.],0.0,[0.]
13,[-7.29708828e-05],10000,[-0.],0.0,[0.]
14,[-7.25111715e-05],10000,[-0.],0.0,[0.]
15,[-7.24607204e-05],10000,[-0.],0.0,[0.]
