#Bump,Camber,Caster,Toe,SteerAngle,SteerRack-0.0010499984250007055,0.0,0.0,0.0,nan,0.0
-----------------------------------------0.002099987400022561,1.3203552974471648e-05,2.762408195620607e-05,2.240674385002885e-05,-3.078776067652148e-05,0.0
-----------------------------------------0.003149957475172147,-4.578798959093463e-05,5.648655002608139e-05,0.00011844332770582228,-6.078017041450766e-05,0.0
-----------------------------------------0.004199899200725718,-0.00014334266258184862,7.335384842501098e-05,-3.3754682991982776e-05,-7.82630777497822e-05,0.0
-----------------------------------------0.005249803127214832,-0.0008063375014277879,0.0001170489241102116,0.001768944283169995,-0.0001140849590037056,0.0
-----------------------------------------0.006299659805511082,0.0014812092502999353,-7.891932604797644e-05,-0.009135457061074199,2.5935819619975085e-05,0.0
-----------------------------------------0.007349459786911761,-0.0004923097371847401,-3.2720168963007524e-05,-0.006395609139749461,-1.4883788702051995e-05,0.0
-----------------------------------------0.008399193623223965,0.0010246099421491182,-0.00014953453360695294,-0.0168170236644414,1.91472112522216e-05,0.0
-----------------------------------------0.009448851866850256,-0.0014184660583019212,-4.702533688939626e-05,-0.013690918606641313,-7.513137837788353e-05,0.0
-----------------------------------------0.01049842507087337,-0.0002381174361162566,-0.00011588523893932668,-0.023578710824667247,-0.0001130359914606693,0.0
-----------------------------------------0.011547903789141865,-0.0028874533404056883,1.1209409108841282e-05,-0.019850584084039523,-0.00022477591861748192,0.0
-----------------------------------------0.012597278576354204,-0.0017878605953768818,-5.260804606025307e-05,-0.029287744911685502,-0.00028974548798867827,0.0
-----------------------------------------0.013646539988144392,-0.004467809039282098,6.66748581354878e-05,-0.02502240811901227,-0.00038439026941863413,0.0
-----------------------------------------0.014695678581166643,-0.0035554928913968564,3.057962567807892e-07,-0.033043308068797544,-0.000452853413974634,0.0
-----------------------------------------0.015744684913181012,-0.006283499301682492,0.00011963132752410213,-0.027405530261478853,-0.0005218141108267837,0.0
-----------------------------------------0.016793549543137443,-0.005154082087564675,2.1672187954660406e-05,-0.034937599556168625,-0.0005708810472576971,0.0
-----------------------------------------0.01784226303126134,-0.007705014326193,0.00011814082790069336,-0.028763967636154138,-0.0005983641828258506,0.0
-----------------------------------------0.018890815939138238,-0.0064229735798474385,-1.1944460087667555e-05,-0.03577483021605452,-0.0006239678584017637,0.0
