#time,V_x,k,SlipAngle,LateralForce,DynamicS,AbsVy,
116,[3.67240279e-10],10000,[0.],0.0,[0.]
117,[3.00772289e-10],10000,[0.],0.0,[0.]
118,[2.4672577e-10],10000,[0.],0.0,[0.]
119,[2.02737484e-10],10000,[0.],0.0,[0.]
120,[1.66898766e-10],10000,[0.],0.0,[0.]
121,[1.37666359e-10],10000,[0.],0.0,[0.]
122,[1.13792789e-10],10000,[0.],0.0,[0.]
123,[9.42695519e-11],10000,[0.],0.0,[0.]
124,[7.82803447e-11],10000,[0.],0.0,[0.]
125,[6.5164605e-11],10000,[0.],0.0,[0.]
126,[5.43877532e-11],10000,[0.],0.0,[0.]
127,[4.55164315e-11],10000,[0.],0.0,[0.]
128,[3.81993153e-11],10000,[0.],0.0,[0.]
129,[3.2150953e-11],10000,[0.],0.0,[0.]
130,[2.71406516e-11],10000,[0.],0.0,[0.]
131,[2.2980848e-11],10000,[0.],0.0,[0.]
132,[1.95176043e-11],10000,[0.],0.0,[0.]
133,[1.66276806e-11],10000,[0.],0.0,[0.]
134,[1.42090803e-11],10000,[0.],0.0,[0.]
135,[1.21796888e-11],10000,[0.],0.0,[0.]
136,[1.04713148e-11],10000,[0.],0.0,[0.]
137,[9.02960417e-12],10000,[0.],0.0,[0.]
138,[7.80900024e-12],10000,[0.],0.0,[0.]
139,[6.77237761e-12],10000,[0.],0.0,[0.]
140,[5.88908974e-12],10000,[0.],0.0,[0.]
141,[5.13453187e-12],10000,[0.],0.0,[0.]
142,[4.48763114e-12],10000,[0.],0.0,[0.]
143,[3.93142397e-12],10000,[0.],0.0,[0.]
144,[3.45200593e-12],10000,[0.],0.0,[0.]
145,[3.03728309e-12],10000,[0.],0.0,[0.]
146,[2.67778768e-12],10000,[0.],0.0,[0.]
147,[2.36517327e-12],10000,[0.],0.0,[0.]
148,[2.09251911e-12],10000,[0.],0.0,[0.]
149,[1.85412174e-12],10000,[0.],0.0,[0.]
150,[1.64567884e-12],10000,[0.],0.0,[0.]
151,[1.46269062e-12],10000,[0.],0.0,[0.]
152,[1.30143097e-12],10000,[0.],0.0,[0.]
153,[1.15918945e-12],10000,[0.],0.0,[0.]
154,[1.0337036e-12],10000,[0.],0.0,[0.]
155,[9.22792412e-13],10000,[0.],0.0,[0.]
156,[8.24457427e-13],10000,[0.],0.0,[0.]
157,[7.36974178e-13],10000,[0.],0.0,[0.]
158,[6.59298666e-13],10000,[0.],0.0,[0.]
159,[5.90098796e-13],10000,[0.],0.0,[0.]
160,[5.28514639e-13],10000,[0.],0.0,[0.]
161,[4.73857226e-13],10000,[0.],0.0,[0.]
162,[4.24930053e-13],10000,[0.],0.0,[0.]
163,[3.81067476e-13],10000,[0.],0.0,[0.]
164,[3.41979845e-13],10000,[0.],0.0,[0.]
165,[3.07225111e-13],10000,[0.],0.0,[0.]
166,[2.75837758e-13],10000,[0.],0.0,[0.]
167,[2.47755504e-13],10000,[0.],0.0,[0.]
168,[2.2263133e-13],10000,[0.],0.0,[0.]
169,[2.00034267e-13],10000,[0.],0.0,[0.]
170,[1.79896718e-13],10000,[0.],0.0,[0.]
171,[1.61596151e-13],10000,[0.],0.0,[0.]
172,[1.45291099e-13],10000,[0.],0.0,[0.]
173,[1.30735493e-13],10000,[0.],0.0,[0.]
174,[1.1754678e-13],10000,[0.],0.0,[0.]
175,[1.05622732e-13],10000,[0.],0.0,[0.]
176,[9.53127994e-14],10000,[0.],0.0,[0.]
177,[8.56060311e-14],10000,[0.],0.0,[0.]
178,[7.66635825e-14],10000,[0.],0.0,[0.]
179,[6.92028906e-14],10000,[0.],0.0,[0.]
180,[6.22448491e-14],10000,[0.],0.0,[0.]
181,[5.59911246e-14],10000,[0.],0.0,[0.]
182,[5.04718537e-14],10000,[0.],0.0,[0.]
183,[4.54225314e-14],10000,[0.],0.0,[0.]
184,[4.08942897e-14],10000,[0.],0.0,[0.]
185,[3.67296233e-14],10000,[0.],0.0,[0.]
186,[3.31264763e-14],10000,[0.],0.0,[0.]
187,[2.98168234e-14],10000,[0.],0.0,[0.]
188,[2.69357234e-14],10000,[0.],0.0,[0.]
189,[2.69357234e-14],10000,[0.],0.0,[0.]
190,[7.00355773e-12],10000,[0.],0.0,[0.]
191,[0.],10000,[0.],0.0,[0.]
192,[0.],10000,[0.],0.0,[0.]
193,[0.],10000,[0.],0.0,[0.]
194,[0.],10000,[0.],0.0,[0.]
195,[0.],10000,[0.],0.0,[0.]
196,[0.],10000,[0.],0.0,[0.]
197,[0.],10000,[0.],0.0,[0.]
198,[-2.00459997e-21],10000,[-0.],0.0,[0.]
199,[-2.00501915e-21],10000,[-0.],0.0,[0.]
200,[-2.00501924e-21],10000,[-0.],0.0,[0.]
201,[-2.00501924e-21],10000,[-0.],0.0,[0.]
202,[-2.00501924e-21],10000,[-0.],0.0,[0.]
203,[-2.00501924e-21],10000,[-0.],0.0,[0.]
204,[0.],10000,[-0.],0.0,[0.]
205,[0.],10000,[-0.],0.0,[0.]
206,[0.],10000,[-0.],0.0,[0.]
207,[0.],10000,[-0.],0.0,[0.]
208,[0.],10000,[-0.],0.0,[0.]
209,[0.],10000,[-0.],0.0,[0.]
210,[0.],10000,[-0.],0.0,[0.]
211,[-2.00459997e-21],10000,[-0.],0.0,[0.]
212,[-2.00501915e-21],10000,[-0.],0.0,[0.]
213,[0.],10000,[-0.],0.0,[0.]
214,[0.],10000,[-0.],0.0,[0.]
215,[0.],10000,[-0.],0.0,[0.]
216,[0.],10000,[-0.],0.0,[0.]
217,[0.],10000,[-0.],0.0,[0.]
218,[0.],10000,[-0.],0.0,[0.]
219,[0.],10000,[-0.],0.0,[0.]
220,[0.],10000,[-0.],0.0,[0.]
221,[0.],10000,[-0.],0.0,[0.]
222,[-2.00459997e-21],10000,[-0.],0.0,[0.]
223,[-2.00501915e-21],10000,[-0.],0.0,[0.]
224,[-2.00501924e-21],10000,[-0.],0.0,[0.]
225,[-2.00501924e-21],10000,[-0.],0.0,[0.]
226,[-2.00501924e-21],10000,[-0.],0.0,[0.]
227,[0.],10000,[-0.],0.0,[0.]
228,[0.],10000,[-0.],0.0,[0.]
229,[0.],10000,[-0.],0.0,[0.]
